conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1991117707971051773,Wed Nov 19 23:59:36 +0000 2025,0,@IdkGiannn Ohiya siii enak opentrip. Kalau aku rencananya naik krl trs nyambung mrt,1991295323499819110,,IdkGiannn,in,,0,0,0,https://x.com/undefined/status/1991295323499819110,1336921620091346945,
1991290975948534262,Wed Nov 19 23:42:19 +0000 2025,0,Randomly pengen cuti trus ke jakarta. Gak ada tujuan khusus cuman pengen jalan kaki random dan commuting naik mrt. Seperti pengen escape dari daily rutin yang makin riweuh ini.,1991290975948534262,,,in,,0,0,0,https://x.com/undefined/status/1991290975948534262,390705548,
1991271996865540268,Wed Nov 19 22:26:54 +0000 2025,6,mba nya pasti kaget kalo mau naik mrt tas juga harus diperiksa ,1991271996865540268,,,in,,0,0,0,https://x.com/undefined/status/1991271996865540268,1319226673640865792,
1991242104165589068,Wed Nov 19 20:28:07 +0000 2025,0,Dikira naik MRT ,1991242104165589068,,,in,,0,0,0,https://x.com/undefined/status/1991242104165589068,58405028,
1991222078750756918,Wed Nov 19 19:08:33 +0000 2025,0,tadi sore ketemu orang jepang di mrt dia nanya arah dan kebetulan kita satu arah ternyata dia pertama kali naik mrt. akhirnya kita bareng sampai tujuan dengan sedikit ngobrol walau keterbatasan bahasa. di fase itu kek DAMN merasaa bodoh dan merasa bahasa itu sangat pentingg ,1991222078750756918,,,in,,0,1,0,https://x.com/undefined/status/1991222078750756918,1822991023997616128,
1991153982836822235,Wed Nov 19 15:47:18 +0000 2025,0,@abd_jalil_sisha Gfrent ajh naik mrt kita gas,1991171431938617738,,abd_jalil_sisha,in,,0,1,0,https://x.com/undefined/status/1991171431938617738,1881355714377269248,
1991170223798644865,Wed Nov 19 15:42:30 +0000 2025,1,kalo jln jln di jakarta sewot mulu kali ya ini orang naik mrt barang di xray masuk mol tas di periksa ,1991170223798644865,,,in,,0,0,0,https://x.com/undefined/status/1991170223798644865,1874420664964431872,
1991164878539960789,Wed Nov 19 15:21:15 +0000 2025,0,Gw kira harga mrt naik ternyata baru inget gw naiknya dari bundaran HI pantes mahal ,1991164878539960789,,,in,,0,0,0,https://x.com/undefined/status/1991164878539960789,71949875,
1991145264414126227,Wed Nov 19 14:03:19 +0000 2025,1,kangen magang di setiaboti setiap istirahat jumat pasti geser ke mekidi plaza sentral sama temen magang ber4 naik tj terus pulangnya naik mrt ,1991145264414126227,,,in,,0,0,0,https://x.com/undefined/status/1991145264414126227,1854221594966761472,
1991108421782057314,Wed Nov 19 13:26:41 +0000 2025,0,@hyakinth05 Euh capek gak sih ke jkt dr sana jauh prasaanku. Mana gak ada transum kayak mrt gitu ya. Aku kmrn mau naik shuttle tyt udah ga beroperasi terpaksa naik gocar itu prasaanku jauh. Capek di jalan.,1991136044041879612,,hyakinth05,in,,0,1,0,https://x.com/undefined/status/1991136044041879612,1413864566170161154,
