full_text,punctuation_text,normalized,hf_final,hf_score
@IdkGiannn Ohiya siii enak opentrip. Kalau aku rencananya naik krl trs nyambung mrt,ohiya si enak opentrip kalau aku rencananya naik krl trs nyambung mrt,ohiya si enak opentrip kalau saya rencananya naik krl terus nyambung mrt,Positive,9.996.435.642.242.430
Randomly pengen cuti trus ke jakarta. Gak ada tujuan khusus cuman pengen jalan kaki random dan commuting naik mrt. Seperti pengen escape dari daily rutin yang makin riweuh ini.,randomly pengen cuti trus ke jakarta gak ada tujuan khusus cuman pengen jalan kaki random dan commuting naik mrt seperti pengen escape dari daily rutin yang makin riweuh ini,randomly ingin cuti terus ke jakarta tidak ada tujuan khusus hanya ingin jalan kaki random dan commuting naik mrt seperti ingin escape dari daily rutin yang makin riweuh ini,Negative,4.744.887.351.989.740
mba nya pasti kaget kalo mau naik mrt tas juga harus diperiksa,mba nya pasti kaget kalo mau naik mrt tas juga harus diperiksa,mba nya pasti kaget kalau mau naik mrt tas juga harus diperiksa,Positive,998.069.703.578.949
Dikira naik MRT,dikira naik mrt,dikira naik mrt,Negative,9.966.450.333.595.270
tadi sore ketemu orang jepang di mrt dia nanya arah dan kebetulan kita satu arah ternyata dia pertama kali naik mrt. akhirnya kita bareng sampai tujuan dengan sedikit ngobrol walau keterbatasan bahasa. di fase itu kek DAMN merasaa bodoh dan merasa bahasa itu sangat pentingg,tadi sore ketemu orang jepang di mrt dia nanya arah dan kebetulan kita satu arah ternyata dia pertama kali naik mrt akhirnya kita bareng sampai tujuan dengan sedikit ngobrol walau keterbatasan bahasa di fase itu kek damn merasaa bodoh dan merasa bahasa itu sangat pentingg,tadi sore ketemu orang jepang di mrt dia tanya arah dan kebetulan kita satu arah ternyata dia pertama kali naik mrt akhirnya kita bareng sampai tujuan dengan sedikit bicara walau keterbatasan bahasa di fase itu kek damn merasaa bodoh dan merasa bahasa itu sangat pentingg,Negative,9.996.494.054.794.310
@abd_jalil_sisha Gfrent ajh naik mrt kita gas,gfrent ajh naik mrt kita gas,gfrent saja naik mrt kita gas,Negative,9.875.296.354.293.820
kalo jln jln di jakarta sewot mulu kali ya ini orang naik mrt barang di xray masuk mol tas di periksa,kalo jln jln di jakarta sewot mulu kali ya ini orang naik mrt barang di xray masuk mol tas di periksa,kalau jalan jalan di jakarta sewot terus kali ya ini orang naik mrt barang di xray masuk mol tas di periksa,Negative,9.901.076.555.252.070
Gw kira harga mrt naik ternyata baru inget gw naiknya dari bundaran HI pantes mahal,gw kira harga mrt naik ternyata baru inget gw naiknya dari bundaran hi pantes mahal,saya kira harga mrt naik ternyata baru ingat saya naiknya dari bundaran hi pantes mahal,Negative,9.983.898.401.260.370
kangen magang di setiaboti setiap istirahat jumat pasti geser ke mekidi plaza sentral sama temen magang ber4 naik tj terus pulangnya naik mrt,kangen magang di setiaboti setiap istirahat jumat pasti geser ke mekidi plaza sentral sama temen magang ber naik tj terus pulangnya naik mrt,kangen magang di setiaboti setiap istirahat jumat pasti geser ke mekidi plaza sentral sama teman magang ber naik tj terus pulangnya naik mrt,Neutral,994.354.248.046.875
@hyakinth05 Euh capek gak sih ke jkt dr sana jauh prasaanku. Mana gak ada transum kayak mrt gitu ya. Aku kmrn mau naik shuttle tyt udah ga beroperasi terpaksa naik gocar itu prasaanku jauh. Capek di jalan.,euh capek gak sih ke jkt dr sana jauh prasaanku mana gak ada transum kayak mrt gitu ya aku kmrn mau naik shuttle tyt udah ga beroperasi terpaksa naik gocar itu prasaanku jauh capek di jalan,euh capai tidak sih ke jakarta dari sana jauh prasaanku mana tidak ada transportasi umum kayak mrt begitu ya saya kemarin mau naik shuttle tyt sudah tidak beroperasi terpaksa naik gocar itu prasaanku jauh capai di jalan,Negative,9.997.889.399.528.500
