normalized,hf_final,hf_score,label_id
ohiya sih enak opentrip kalau aku merencanakan naik krl terus menyambung mrt,Positive,9.995.786.547.660.820,2
mau liburan nyantai memang enaknya naik gopar mau lebih nyantai lagi naik krl sampai ckr lanjut walahar sampai pwk lanjut lagi pakai lokal bdg,Positive,9.988.386.034.965.510,2
untung langsung memutuskan otw naik krl kalo tetap motoran ke kantor kayaknya keujanan walaupun ke stasiun tadi juga semper teles kebes,Positive,9.989.577.531.814.570,2
mana mutual zombie yang jam segini sudah naik krl,Positive,9.998.242.259.025.570,2
bagi banyak warga jabodetabek krl telah menjadi sahabat perjalanan yang dapat diandalkan sebagai moda transportasi umum yang menghubungkan mereka dari satu titik ke titik lainnya,Positive,9.582.975.506.782.530,2
lah gue ngalamin kemarin pas mng coba buat ngejar ke arah lrt dukuh atas kagak kekejar anjir wkwk masih untung jadwal krl tanah abang sampai jam 12 itupun jadwal terakhir akhirnya sampai stasiun tanah abang naik ojol buat kerumah mending kata gue mah pikir lagi nder,Negative,9.997.407.793.998.710,0
gah demn hidup kok kayak naik krl yang kalo kepenuhan ditolakin tiap gerbong,Negative,999.815.046.787.262,0
dulu era 98 20 kalo nginep disini sampai berhari hari karena mbambong iku mbois dan bolos sekolah itu keren kalo off 2 bulan full ngamen sampai kalibata amp naik diatap krl lanjut ngumpul sama oi kalo sore lihat slank latihan di halaman sama ada musisi lain itu kepuasan,Positive,9.994.864.463.806.150,2
infonya sih deh pindah ke depok bang biar gampang n irit jadi lebih pilih naik krl,Positive,9.407.322.406.768.790,2
kalo kayak enggak naik krl kali ngeluh doang pekerjaan lo beli mobil belum mampu banyak bacot,Negative,9.998.553.991.317.740,0
gapapa krl ada sampai 24 jam tapi di atur lagi melihat kira kira di jam berapa traffic tuh naik,Neutral,9.290.186.166.763.300,1
pertama kereta cepat juga enggak cepat sebenarnya karena stasiun akhirnya stasiun padalarang yang mana habis dari sana mesti naik kereta lokal lagi ke stasiun bandung kedua tiketnya mahal ketiga akses menuju stasiun kcic nya juga rada sulit enggak ada akses krl adanya busway lrt,Negative,9.994.514.584.541.320,0
sebenarnya menikmati whoosh tapi memang agak susah payah untuk ke st halim sementara gopar bisa naik di st bekasi dan dari tempat gue jauh lebih dekat akses krl daripada lrt,Positive,9.971.638.321.876.520,2
fix kalo ada uang jalan jalan naik krl ah sudah lama enggak jalan jalan stuck di cangkang saja,Positive,9.998.064.637.184.140,2
iya aku naik krl kak dari pocin,Neutral,9.996.761.083.602.900,1
